name Esperite
cas 12
id 12
Raman_shift Intensity
722.66 18.82056
723.1421 20.01477
723.6242 20.72913
724.1063 20.42151
724.5884 18.94849
725.0706 15.29517
725.5527 9.817139
726.0348 6.625732
726.5169 7.936035
726.999 9.034912
727.4811 7.158447
727.9633 5.079834
728.4454 5.976074
728.9275 9.773193
729.4096 14.25537
729.8917 18.17041
730.3738 21.35571
730.856 23.56177
731.3381 24.86792
731.8202 23.49561
732.3023 17.99902
732.7844 12.52588
733.2665 9.770752
733.7487 9.561768
734.2308 11.05127
734.7129 16.05884
735.195 19.30908
735.6771 18.073
736.1592 16.04712
736.6414 15.94824
737.1235 17.58032
737.6056 19.72437
738.0877 21.87036
738.5698 24.25488
739.0519 27.23633
739.5341 30.70093
740.0162 34.29321
740.4983 37.76367
740.9804 42.04468
741.4625 48.75342
741.9446 55.4856
742.4268 57.32666
742.9089 53.41211
743.391 49.71997
743.8731 46.70117
744.3552 44.02515
744.8373 40.41284
745.3195 37.54517
745.8016 39.17017
746.2837 45.32446
746.7658 49.98145
747.2479 46.85986
747.73 38.7002
748.2122 32.83179
748.6943 29.28833
749.1764 26.39917
749.6585 24.07983
750.1406 21.21069
750.6227 15.9873
751.1049 8.553955
751.587 4.126709
752.0691 4.809082
752.5512 5.331787
753.0333 4.308594
753.5154 3.105957
753.9976 3.275635
754.4797 4.250977
754.9618 4.215088
755.4439 2.080078
755.926 0.672363
756.4081 2.126709
756.8903 2.493408
757.3724 2.35376
757.8545 1.705811
758.3366 2.094727
758.8187 5.097656
759.3008 9.181152
759.783 9.945557
760.2651 5.524902
760.7472 1.979736
761.2293 0.720459
761.7114 2.540039
762.1935 3.024902
762.6757 2.837158
763.1578 2.716309
763.6399 2.854248
764.122 3.37085
764.6041 4.142822
765.0862 5.470459
765.5684 7.769531
766.0505 11.04248
766.5326 15.76416
767.0147 22.27783
767.4968 27.7644
767.9789 28.74365
768.4611 25.46777
768.9432 23.56958
769.4253 23.65503
769.9074 24.01392
770.3895 24.86548
770.8716 25.4292
771.3538 25.7356
771.8359 25.35889
772.318 22.74048
772.8001 15.77563
773.2822 9.76123
773.7643 8.496338
774.2465 10.3418
774.7286 14.3291
775.2107 19.40918
775.6928 22.10254
776.1749 20.41699
776.657 16.03857
777.1392 11.56836
777.6213 6.790283
778.1034 3.904541
778.5855 3.034668
779.0676 3.943848
779.5497 8.577637
780.0319 13.71582
780.514 14.98291
780.9961 12.11108
781.4782 8.573242
781.9603 3.821533
782.4424 0.083740003
782.9246 1.549805
783.4067 1.278564
783.8888 1.311279
784.3709 5.761719
